"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000490","매산초등학교","02","공립","","N","단설","주간","19451005","19451005","5279038025","전북특별자치도 고창군 대산면 매산리","196-3.","585864","56468","전북특별자치도 고창군 대산면 매산초등길 22","(대산면, 매산초등학교)","35.3402633951","126.5945436117","063-562-8018","063-564-6656","http://www.jb-maesan.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000491","무장초등학교","02","공립","","N","단설","주간","19110915","19110915","5279033021","전라북도 고창군 무장면 무장리","21-1.","585881","56455","전북특별자치도 고창군 무장면 무장초등길 24","무장초등학교","35.4154146722","126.564303534","063-562-9011","063-563-5674","http://www.mujang.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000492","봉암초등학교","02","공립","","N","단설","주간","19400529","19400529","5279043028","전북특별자치도 고창군 부안면 봉암리","211번지.","585942","56418","전북특별자치도 고창군 부안면 인촌로 505",", 봉암초등학교 (부안면)","35.5584285898","126.6275752682","063-562-1717","063-561-0723","http://bong-am.es.kr/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000493","고창부안초등학교","02","공립","","N","단설","주간","19190401","19190401","5279043022","전라북도 고창군 부안면 오산리","202-2번지.","585941","56416","전북특별자치도 고창군 부안면 복분자로 806","고창부안초등학교","35.5117850843","126.6631344415","063-562-2020","063-564-1076","http://www.g-buan.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000495","상하초등학교","02","공립","","N","병설","주간","19310519","19310519","5279035021","전북특별자치도 고창군 상하면 장산리","78번지.","585914","56408","전북특별자치도 고창군 상하면 상하1길 36","(상하면, 상하초등학교)","35.4444365076","126.4879693932","063-563-0016","063-562-2399","http://www.sangha.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000498","선동초등학교","02","공립","","N","단설","주간","19350501","19350418","5279034028","전북특별자치도 고창군 공음면 선동리","615-1.","585871","56462","전북특별자치도 고창군 공음면 청보리로 1010","(공음면, 선동초등학교)","35.3679827806","126.5560989235","063-562-7169","063-561-1708","http://www.seondong.es.kr/","남녀공학","Y","20250228","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000500","성내초등학교","02","공립","","N","단설","주간","19240421","19220325","5279041021","전북특별자치도 고창군 성내면 양계리","시기 2길.","585813","56420","전북특별자치도 고창군 성내면 시기2길 2","(성내면,성내초등학교)","35.5380547024","126.7447783872","063-562-3210","063-564-2308","http://www.seong-nae.es.kr/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000501","성송초등학교","02","공립","","N","병설","주간","19230510","19230510","5279037024","전라북도 고창군 성송면 암치리","389-1번지.","585851","56465","전북특별자치도 고창군 성송면 백토1길 10","성송초등학교","35.3563440251","126.644082949","063-563-1006","063-562-4347","https://school.jbedu.kr/sungsong","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000502","신림초등학교","02","공립","","N","병설","주간","19280510","19280510","5279042031","전라북도 고창군 신림면 법지리","산 31번지.","585833","56424","전북특별자치도 고창군 신림면 동법지길 61","신림초등학교","35.4942353594","126.7002028171","063-562-4010","063-562-2838","sinrim.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000504","심원초등학교","02","공립","","N","단설","주간","19350419","19350419","5279039028","전북특별자치도 고창군 심원면 월산리","725번지.","585923","56400","전북특별자치도 고창군 심원면 심원로 229","(심원면,심원초등학교)","35.5257374997","126.552360888","063-563-5020","063-564-6544","http://www.jb-shimwon.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000505","아산초등학교","02","공립","","N","병설","주간","19330426","19330426","5279032035","전라북도 고창군 아산면 반암리","1081번지.","585932","56452","전북특별자치도 고창군 아산면 영모정길 45","아산초등학교","35.483349227","126.6055244961","063-562-1570","063-561-0531","https://school.jbedu.kr/g-asan","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000510","해리초등학교","02","공립","","N","단설","주간","19220501","19220501","5279036025","",".","","56402","전북특별자치도 고창군 해리면 해리중앙로 152","해리초등학교","35.4657031522","126.5359920319","063-563-5319","063-562-0501","www.haerii.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000512","흥덕초등학교","02","공립","","N","병설","주간","19150501","19150501","5279040021","전라북도 고창군 흥덕면 흥덕리","273-1번지.","585821","56415","전북특별자치도 고창군 흥덕면 흥덕초등길 13","흥덕초등학교","35.5191135043","126.7018014753","063-562-6021","063-561-0710","http://www.heungdeok.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000570","개야도초등학교","02","공립","","N","단설","주간","19460401","19460401","5213039021","전라북도 군산시 옥도면 개야도리 개야도","563.","573811","54000","전북특별자치도 군산시 옥도면 개야도길 189-10","개야도초등학교","36.0428257067","126.5487198765","063-466-4600","063-465-8722","keyado.es.kr","남녀공학","Y","20250228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000571","개정초등학교","02","공립","","N","병설","주간","19240307","19240307","5213036021","전북특별자치도 군산시 개정면 아동리","233.","54064","54064","전북특별자치도 군산시 개정면 동정1길 5","개정초등학교","35.9629440201","126.7691770281","063-452-6364","063-452-6368","https://school.jbedu.kr/gaejeong","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000574","군산경포초등학교","02","공립","","N","단설","주간","19850301","19831002","5213013400","전라북도 군산시 조촌동","461.","573884","54033","전북특별자치도 군산시 백릉로 75","군산경포초등학교","35.9765106584","126.7348856588","063-445-4772","063-445-9744","gskp.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000575","군산구암초등학교","02","공립","","N","단설","주간","19450501","19450501","5213013600","전라북도 군산시 경암동","636-51.","573860","54034","전북특별자치도 군산시 경암3길 64-1","군산구암초등학교","35.9804928538","126.7310801856","063-445-2405","063-445-3270","http://ksguam.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000576","군산금광초등학교","02","공립","","N","병설","주간","19530429","19530429","5213010700","전라북도 군산시 금광동","168번지.","573100","54114","전북특별자치도 군산시 대학로 100","군산금광초등학교","35.9822737655","126.7065022119","063-462-3652","063-466-0348","ksgeumgwang.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000577","군산나운초등학교","02","공립","","N","단설","주간","19910901","19910901","5213014400","전라북도 군산시 나운동","771-1번지.","573350","54125","전북특별자치도 군산시 신설로 50","군산나운초등학교","35.9720987273","126.6924239279","063-465-8101","063-465-8141","http://ksnaun.es.kr/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000578","군산남초등학교","02","공립","","N","단설","주간","19470421","19470421","5213012900","전라북도 군산시 미원동","343번지.","573180","54118","전북특별자치도 군산시 삼학7길 4","군산남초등학교","35.9787312699","126.7144498432","063-462-2521","063-466-1339","www.ksnam.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000579","군산내흥초등학교","02","공립","","N","단설","주간","19740316","19740316","5213013800","전라북도 군산시 내흥동","1063.","573340","54042","전북특별자치도 군산시 패총로 38","","35.9947028944","126.7556587749","063-446-5622","063-443-5747","www.ksneahung.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000580","군산동초등학교","02","공립","","N","병설","주간","19500407","19500407","5213013400","전북특별자치도 군산시 조촌동","757-1.","573410","54080","전북특별자치도 군산시 번영로 181","(조촌동, 군산동초등학교)","35.9652607014","126.7386570492","063-452-3732","063-452-3116","http://kunsandong.es.kr/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000581","군산문화초등학교","02","공립","","N","단설","주간","19700620","19691029","5213011000","전북특별자치도 군산시 문화동","895-1.","573874","54115","전북특별자치도 군산시 문화안길 51","(문화동, 군산문화초등학교)","35.9740855708","126.7030067756","063-465-0908","063-466-1369","ksmunhwa.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000582","군산산북초등학교","02","공립","","N","단설","주간","19930901","19930901","5213015100","전라북도 군산시 산북동","3580.","573500","54165","전북특별자치도 군산시 원산북2길 29","군산산북초등학교","35.9645091061","126.6812477133","063-465-2414","063-466-3497","https://school.jbedu.kr/jb-sanbuk","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000583","군산서초등학교","02","공립","","N","단설","주간","19571018","19570814","5213010300","전북특별자치도 군산시 금동","20-3.","573300","54018","전북특별자치도 군산시 중앙로 230","(금동, 군산서초등학교)","35.9906986892","126.7065863398","063-445-3664","063-442-2555","www.gss.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000584","군산서해초등학교","02","공립","","N","단설","주간","19960901","19940526","5213014400","전북특별자치도 군산시 나운동","155-3.","573350","54144","전북특별자치도 군산시 의료원로 162","(나운동, 서해초등학교)","35.9596400978","126.6995557135","063-468-1674","063-468-1675","http://seohae.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000585","소룡초등학교","02","공립","","N","단설","주간","19770301","19770301","5213014600","전북특별자치도 군산시 소룡동","1341.","573400","54014","전북특별자치도 군산시 설림길 55","(소룡동,군산소룡초등학교)","35.9739902966","126.6826864207","063-468-9103","063-466-0781","http://jb-soryong.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000586","군산수송초등학교","02","공립","","N","단설","주간","19840301","19840301","5213014100","전북특별자치도 군산시 수송동","396-9.","573370","54083","전북특별자치도 군산시 월명로 312","(수송동, 군산수송초등학교)","35.972506548","126.7163925397","063-465-2821","063-466-0445","www.susong.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000587","군산신흥초등학교","02","공립","","N","병설","주간","19950301","19950301","5213014400","전북특별자치도 군산시 나운동","45-4.","573352","54136","전북특별자치도 군산시 백토로 129","(나운동, 신흥초등학교)","35.9679626921","126.7067148312","063-467-2272","063-467-2275","http://kshin.or.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000588","군산용문초등학교","02","공립","","N","단설","주간","20020301","20020301","5213014500","전라북도 군산시 미룡동","898-8.","573360","54154","전북특별자치도 군산시 미룡로 32-8","군산용문초등학교","35.9422866902","126.6889087567","063-466-8237","063-466-4185","https://school.jbedu.kr/gsym","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000589","군산월명초등학교","02","공립","","N","단설","주간","19880901","19880901","5213014100","전라북도 군산시 송풍동","925-3.","573120","54099","전북특별자치도 군산시 수송동로 24","군산월명초등학교","35.9618054507","126.7203052077","063-472-3001","063-466-1374","http://www.kswm.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000590","군산중앙초등학교","02","공립","","N","단설","주간","19070513","19070513","5213012100","전라북도 군산시 중앙로2가동","145번지.","573042","54028","전북특별자치도 군산시 중앙로 91","군산중앙초등학교","35.9822366988","126.7165750602","063-443-1735","063-445-9399","http://www.ksjungang.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000591","군산지곡초등학교","02","공립","","N","단설","주간","19980301","19980301","5213014300","전북특별자치도 군산시 지곡동","504.","573390","54103","전북특별자치도 군산시 신지길 26","(지곡동, 지곡초등학교)","35.9576924222","126.7068015786","063-461-3686","063-451-7186","http://www.ksjigok.es.kr/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000592","군산초등학교","02","공립","","N","단설","주간","19451005","19451005","5213014300","전라북도 군산시 중앙로1가","13-1.","573041","54106","전북특별자치도 군산시 지곡로 68","군산초등학교","35.9532749521","126.7099303913","063-472-7703","063-442-0015","https://school.jbedu.kr/gunsan-e/","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000593","군산풍문초등학교","02","공립","","N","병설","주간","19640401","19640401","5213012800","전북특별자치도 군산시 장재동","145.","573220","54041","전북특별자치도 군산시 풍마길 22","(장재동, 풍문초등학교)","35.9769455955","126.7185054927","063-445-2575","063-445-9145","www.pungmun.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000594","해성초등학교","02","공립","","N","단설","주간","19700301","19700301","5213015100","전북특별자치도 군산시 산북동","(옥성남길 27번)2803번지.","573500","54159","전북특별자치도 군산시 옥성남길 21","(산북동, 해성초등학교)","35.9585302181","126.6303114278","063-466-2775","063-466-0760","www.hessung.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000595","군산흥남초등학교","02","공립","","N","단설","주간","19920901","19920925","5213011000","전북특별자치도 군산시 문화동","21.","573140","54123","전북특별자치도 군산시 서흥안2길 20","(문화동, 흥남초등학교)","35.9714278645","126.70853357","063-466-0018","063-466-0057","http://school.jbedu.kr/h-nam","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000596","금암초등학교","02","공립","","N","단설","주간","19410501","19410501","5213034026","전북특별자치도 군산시 서수면 금암리","261.","573942","54053","전북특별자치도 군산시 서수면 황등서로 351-8","(서수면, 금암초등학교)","35.8375912371","127.1366379956","063-453-3064","063-453-3446","http://www.keumam.es.kr","남녀공학","Y","20250228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000598","나포초등학교","02","공립","","N","병설","주간","19350415","19350415","5213038023","전라북도 군산시 나포면 옥곤리","261번지.","573853","54048","전북특별자치도 군산시 나포면 교동1길 23","나포초등학교","36.0308637039","126.8340948039","063-453-1006","063-453-1435","http://napo.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000599","당북초등학교","02","공립","","N","병설","주간","19491025","19490901","5213031024","전북특별자치도 군산시 옥산면 당북리","874-1.","573821","54173","전북특별자치도 군산시 옥산면 백석로 40",", 당북초등학교 (옥산면)","35.9466769665","126.7170944601","063-462-8983","063-462-5906","www.dangbuk.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000600","대야남초등학교","02","공립","","N","단설","주간","19630901","19630901","5213035023","전라북도 군산시 대야면 복교리","952-48.","573913","54062","전북특별자치도 군산시 대야면 남군산로 116","대야남초등학교","35.919198374","126.8200887686","063-451-2359","063-451-5642","https://school.jbedu.kr/dyanam","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000601","대야초등학교","02","공립","","N","단설","주간","19210701","19210701","5213035021","전라북도 군산시 대야면 산월리","448.","573912","54060","전북특별자치도 군산시 대야면 대야관통로 141-13","대야초등학교","35.948424956","126.8184220461","063-451-2905","063-451-6625","http://ksdaeya.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000602","대야초등학교광산분교장","02","공립","","Y","단설","주간","19440401","19440401","5213035025","전북특별자치도 군산시 대야면 접산리","391-15.","573911","54063","전북특별자치도 군산시 대야면 번영로 1421","(대야면, 대야초교광산분교)","35.9362351821","126.8668650218","063-451-2328","063-451-6813","http://bun.ksdaeya.es.kr","남녀공학","Y","20230228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000603","마룡초등학교","02","공립","","N","단설","주간","19340414","19340414","5213034024","전라북도 군산시 서수면 마룡리","338.","573941","54051","전북특별자치도 군산시 서수면 청룡로 123","마룡초등학교","36.002779324","126.8773476808","063-453-3102","063-453-3103","https://school.jbedu.kr/maryong","남녀공학","Y","20250228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000604","무녀도초등학교","02","공립","","N","단설","주간","19520301","19520301","5213039025","전라북도 군산시 옥도면 무녀도리","172.","573814","54000","전북특별자치도 군산시 옥도면 무녀도2길 33","무녀도초등학교","35.8047081797","126.4238485008","063-465-7011","063-466-0845","http://munyeodo.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000605","문창초등학교","02","공립","","N","단설","주간","19451115","19451115","5213015100","전라북도 군산시 산북동","2701.","573877","54159","전북특별자치도 군산시 공항로 394","문창초등학교","35.9567114514","126.655109988","063-466-3008","063-466-0611","http://school.jbedu.kr/moonchang","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000606","미룡초등학교","02","공립","","N","병설","주간","19390601","19390601","5213014500","",".","","54150","전북특별자치도 군산시 대학로 498-10","미룡초등학교","35.9505124496","126.6844828275","063-467-6846","063-466-0784","http://www.miryong.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000607","발산초등학교","02","공립","","N","단설","주간","19470901","19470901","5213036024","전라북도 군산시 개정면 발산리","45-1.","573921","54065","전북특별자치도 군산시 개정면 바르메길 43","발산초등학교","35.9591850898","126.7966526707","063-451-2156","063-451-6549","www.ks-balsan.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000608","비안도초등학교","02","공립","","N","단설","주간","19430415","19430415","5213039031","전북특별자치도 군산시 옥도면 비안도리","비안도리 259.","573815","54000","전북특별자치도 군산시 옥도면 비안도1길 7",", 비안도초등학교 (옥도면)","35.7353575307","126.4565707697","063-468-1647","063-465-9638","http://www.biando.es.kr","남녀공학","Y","20210228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000610","서수초등학교","02","공립","","N","병설","주간","19491101","19491101","5213034021","전라북도 군산시 서수면 서수리","760번지.","573943","54055","전북특별자치도 군산시 서수면 항쟁로 199","서수초등학교","35.982994511","126.8764513023","063-453-3021","063-453-3745","www.seosu.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000611","선연초등학교","02","공립","","N","단설","주간","19620605","19620605","5213040022","전북특별자치도 군산시 옥서면 선연리","1459-2.","573951","","","","35.9027150283","126.6363136412","063-471-2305","063-471-5781","http://www.sunyeoun.es.kr","남녀공학","Y","20120229","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000612","선유도초등학교","02","공립","","N","단설","주간","19460401","19460401","5213039024","전북특별자치도 군산시 옥도면 선유도리","281.","573816","54000","전북특별자치도 군산시 옥도면 선유북길 89-1","(옥도면, 선유초중등학교)","35.8116372829","126.4127372647","063-465-7330","063-465-9250","seonyudo.ms.kr","남녀공학","Y","20240901","Y"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000613","성산초등학교","02","공립","","N","단설","주간","19230601","19230601","5213037023","전라북도 군산시 성산면 고봉리","328.","573841","54046","전북특별자치도 군산시 성산면 동군산로 39","성산초등학교","35.9905417196","126.7857399153","063-453-0006","063-453-0399","https://school.jbedu.kr/kssan","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000615","술산초등학교","02","공립","","N","단설","주간","19370601","19370601","5213033025","전북특별자치도 군산시 임피면 술산리","425-2.","573932","54057","전북특별자치도 군산시 임피면 남산로 26-13","(임피면, 술산초등학교)","35.9581731573","126.8620483285","063-453-3364","063-453-3810","www.kssulsa.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000616","신시도초등학교","02","공립","","N","단설","주간","19440417","19440417","5213039026","",".","","54000","전북특별자치도 군산시 옥도면 신시도2길 18-5","(옥도면)","35.8152548582","126.4504699916","063-462-0031","063-465-8716","http://sinsido.es.kr/","남녀공학","Y","20250228","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000617","신시도초등학교야미도분교장","02","공립","","Y","단설","주간","19550319","19550319","5213039027","전북특별자치도 군산시 옥도면 야미도리","산 30.","573818","54000","전북특별자치도 군산시 옥도면 야미도3길 12","(옥도면, 야미도 분교장)","35.8418595228","126.4918075725","063-462-0046","063-461-7164","www.sinsido.es.kr","남녀공학","Y","20240229","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000618","군산신풍초등학교","02","공립","","N","단설","주간","19210510","19210510","5213014400","전라북도 군산시 나운동","신풍초교길 15.","573350","54130","전북특별자치도 군산시 하나운3길 7","군산신풍초등학교","35.9648318581","126.6958754596","063-465-1001","063-466-0464","https://school.jbedu.kr/sinpung","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000619","어청도초등학교","02","공립","","N","단설","주간","19250401","19250401","5213039023","전북특별자치도 군산시 옥도면 어청도리","86.","573819","54000","전북특별자치도 군산시 옥도면 어청도길 95-7","(옥도면, 어청도 초등학교)","36.1207432119","125.979150939","063-466-7033","063-465-9426","http://ochungdo.es.kr","남녀공학","Y","20240229","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000621","오봉초등학교","02","공립","","N","단설","주간","19560401","19560401","5213032021","전북특별자치도 군산시 회현면 월연리","491-1.","573833","54179","전북특별자치도 군산시 회현면 오봉길 55","(회현면, 오봉초등학교)","35.8888505468","126.7260432008","063-466-5323","063-466-5423","http://www.obong.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000622","옥구초등학교","02","공립","","N","단설","주간","19110901","19110901","5213025026","전라북도 군산시 옥구읍 선제리","468.","573902","54172","전북특별자치도 군산시 옥구읍 옥구로 50","옥구초등학교","35.9222533025","126.680433456","063-464-9596","063-464-9594","www.okgu.es.kr","남녀공학","N","","N"
